geneID	transcriptID
ENSMUSG00000051951	ENSMUST00000070533
ENSMUSG00000025900	ENSMUST00000208660
ENSMUSG00000025900	ENSMUST00000027032
ENSMUSG00000025902	ENSMUST00000027035
ENSMUSG00000025902	ENSMUST00000116652
ENSMUSG00000025902	ENSMUST00000192650
ENSMUSG00000033845	ENSMUST00000156816
ENSMUSG00000025903	ENSMUST00000115529
ENSMUSG00000025903	ENSMUST00000150971
ENSMUSG00000025903	ENSMUST00000027036
ENSMUSG00000033813	ENSMUST00000081551
ENSMUSG00000033813	ENSMUST00000165720
ENSMUSG00000002459	ENSMUST00000119256
ENSMUSG00000002459	ENSMUST00000118000
ENSMUSG00000002459	ENSMUST00000002533
ENSMUSG00000033793	ENSMUST00000192698
ENSMUSG00000033793	ENSMUST00000044369
ENSMUSG00000033793	ENSMUST00000192847
ENSMUSG00000025905	ENSMUST00000027038
ENSMUSG00000025905	ENSMUST00000239100
ENSMUSG00000025905	ENSMUST00000160777
ENSMUSG00000025905	ENSMUST00000160339
ENSMUSG00000033774	ENSMUST00000044180
ENSMUSG00000025907	ENSMUST00000027040
ENSMUSG00000087247	ENSMUST00000133144
ENSMUSG00000033740	ENSMUST00000140079
ENSMUSG00000033740	ENSMUST00000150761
ENSMUSG00000033740	ENSMUST00000163727
ENSMUSG00000033740	ENSMUST00000043578
ENSMUSG00000033740	ENSMUST00000131494
ENSMUSG00000033740	ENSMUST00000151281
ENSMUSG00000051285	ENSMUST00000061280
ENSMUSG00000025909	ENSMUST00000140295
ENSMUSG00000025909	ENSMUST00000132064
ENSMUSG00000025909	ENSMUST00000115488
ENSMUSG00000025909	ENSMUST00000191683
ENSMUSG00000061024	ENSMUST00000072079
ENSMUSG00000025911	ENSMUST00000144177
ENSMUSG00000067879	ENSMUST00000088666
ENSMUSG00000025912	ENSMUST00000115468
ENSMUSG00000025912	ENSMUST00000088658
ENSMUSG00000045210	ENSMUST00000057438
ENSMUSG00000025915	ENSMUST00000171265
ENSMUSG00000025915	ENSMUST00000168907
ENSMUSG00000025915	ENSMUST00000097826
ENSMUSG00000025915	ENSMUST00000166384
ENSMUSG00000046101	ENSMUST00000140948
ENSMUSG00000046101	ENSMUST00000171802
ENSMUSG00000046101	ENSMUST00000125294
ENSMUSG00000099032	ENSMUST00000185184
ENSMUSG00000025916	ENSMUST00000027049
ENSMUSG00000025917	ENSMUST00000027050
ENSMUSG00000056763	ENSMUST00000071087
ENSMUSG00000056763	ENSMUST00000186294
ENSMUSG00000067851	ENSMUST00000088615
ENSMUSG00000042501	ENSMUST00000035577
ENSMUSG00000048960	ENSMUST00000027056
ENSMUSG00000057715	ENSMUST00000179089
ENSMUSG00000057715	ENSMUST00000135014
ENSMUSG00000057715	ENSMUST00000137824
ENSMUSG00000057715	ENSMUST00000048613
ENSMUSG00000057715	ENSMUST00000171690
ENSMUSG00000016918	ENSMUST00000186051
ENSMUSG00000016918	ENSMUST00000177608
ENSMUSG00000016918	ENSMUST00000180062
ENSMUSG00000016918	ENSMUST00000088585
ENSMUSG00000025938	ENSMUST00000188454
ENSMUSG00000025938	ENSMUST00000115402
ENSMUSG00000025938	ENSMUST00000115403
ENSMUSG00000025938	ENSMUST00000136197
ENSMUSG00000042414	ENSMUST00000047577
ENSMUSG00000005886	ENSMUST00000081713
ENSMUSG00000005886	ENSMUST00000006037
ENSMUSG00000005886	ENSMUST00000068304
ENSMUSG00000025935	ENSMUST00000027068
ENSMUSG00000025937	ENSMUST00000027071
ENSMUSG00000067813	ENSMUST00000088542
ENSMUSG00000025932	ENSMUST00000027066
ENSMUSG00000025932	ENSMUST00000168081
ENSMUSG00000025932	ENSMUST00000190337
ENSMUSG00000025932	ENSMUST00000080664
ENSMUSG00000025930	ENSMUST00000027062
ENSMUSG00000032769	ENSMUST00000041447
ENSMUSG00000032769	ENSMUST00000235071
ENSMUSG00000092083	ENSMUST00000175681
ENSMUSG00000092083	ENSMUST00000170146
ENSMUSG00000025925	ENSMUST00000027057
ENSMUSG00000025925	ENSMUST00000188371
ENSMUSG00000032719	ENSMUST00000040695
ENSMUSG00000067795	ENSMUST00000145070
ENSMUSG00000067795	ENSMUST00000115367
ENSMUSG00000067795	ENSMUST00000151004
ENSMUSG00000043716	ENSMUST00000058437
ENSMUSG00000025921	ENSMUST00000027053
ENSMUSG00000025920	ENSMUST00000162435
ENSMUSG00000025920	ENSMUST00000054668
ENSMUSG00000025920	ENSMUST00000159558
ENSMUSG00000025920	ENSMUST00000149320
ENSMUSG00000025920	ENSMUST00000162751
ENSMUSG00000025920	ENSMUST00000162627
ENSMUSG00000025920	ENSMUST00000027052
ENSMUSG00000025920	ENSMUST00000162007
ENSMUSG00000025920	ENSMUST00000128957
ENSMUSG00000025920	ENSMUST00000131257
ENSMUSG00000025939	ENSMUST00000182554
ENSMUSG00000025939	ENSMUST00000117146
ENSMUSG00000079658	ENSMUST00000187910
ENSMUSG00000079658	ENSMUST00000115352
ENSMUSG00000079658	ENSMUST00000186948
ENSMUSG00000079658	ENSMUST00000185771
ENSMUSG00000079658	ENSMUST00000188641
ENSMUSG00000025940	ENSMUST00000177501
ENSMUSG00000025940	ENSMUST00000065373
ENSMUSG00000025779	ENSMUST00000026881
ENSMUSG00000025779	ENSMUST00000190366
ENSMUSG00000042686	ENSMUST00000038382
ENSMUSG00000025777	ENSMUST00000026879
ENSMUSG00000067780	ENSMUST00000088476
ENSMUSG00000025776	ENSMUST00000159958
ENSMUSG00000025776	ENSMUST00000095075
ENSMUSG00000025774	ENSMUST00000115340
ENSMUSG00000025774	ENSMUST00000115344
ENSMUSG00000025774	ENSMUST00000026876
ENSMUSG00000073735	ENSMUST00000097818
ENSMUSG00000067773	ENSMUST00000088463
ENSMUSG00000067773	ENSMUST00000097817
ENSMUSG00000042596	ENSMUST00000037294
ENSMUSG00000025927	ENSMUST00000064976
ENSMUSG00000025927	ENSMUST00000187754
ENSMUSG00000025927	ENSMUST00000027059
ENSMUSG00000043760	ENSMUST00000088448
ENSMUSG00000025929	ENSMUST00000027061
ENSMUSG00000041872	ENSMUST00000039046
ENSMUSG00000041859	ENSMUST00000053266
ENSMUSG00000025931	ENSMUST00000187651
ENSMUSG00000025931	ENSMUST00000189400
ENSMUSG00000025931	ENSMUST00000068880
ENSMUSG00000025931	ENSMUST00000167119
ENSMUSG00000041809	ENSMUST00000038447
ENSMUSG00000041779	ENSMUST00000037998
ENSMUSG00000025933	ENSMUST00000027064
ENSMUSG00000025933	ENSMUST00000027065
ENSMUSG00000025934	ENSMUST00000027067
ENSMUSG00000025934	ENSMUST00000121676
ENSMUSG00000067750	ENSMUST00000088407
ENSMUSG00000041722	ENSMUST00000070223
ENSMUSG00000085079	ENSMUST00000147615
ENSMUSG00000028033	ENSMUST00000115300
ENSMUSG00000028033	ENSMUST00000173058
