Gene stable ID	Transcript stable ID
ENSG00000198888	ENST00000361390
ENSG00000198763	ENST00000361453
ENSG00000198804	ENST00000361624
ENSG00000198712	ENST00000361739
ENSG00000228253	ENST00000361851
ENSG00000198899	ENST00000361899
ENSG00000198938	ENST00000362079
ENSG00000198840	ENST00000361227
ENSG00000212907	ENST00000361335
ENSG00000198886	ENST00000361381
ENSG00000198786	ENST00000361567
ENSG00000198695	ENST00000361681
ENSG00000198727	ENST00000361789
ENSG00000281230	ENST00000630425
ENSG00000281459	ENST00000631074
ENSG00000281540	ENST00000628984
ENSG00000281540	ENST00000631021
ENSG00000275330	ENST00000611293
ENSG00000275330	ENST00000617115
ENSG00000275330	ENST00000614390
ENSG00000275330	ENST00000612942
ENSG00000275330	ENST00000610575
ENSG00000288599	ENST00000633557
ENSG00000276256	ENST00000612465
ENSG00000275399	ENST00000615521
ENSG00000275399	ENST00000615391
ENSG00000275399	ENST00000611676
ENSG00000275399	ENST00000616903
ENSG00000277786	ENST00000618740
ENSG00000277786	ENST00000615699
ENSG00000273833	ENST00000614788
ENSG00000274792	ENST00000622674
ENSG00000277178	ENST00000620707
ENSG00000273896	ENST00000613712
ENSG00000273896	ENST00000619263
ENSG00000273896	ENST00000617149
ENSG00000286094	ENST00000382776
ENSG00000286094	ENST00000622126
ENSG00000277615	ENST00000616910
ENSG00000277615	ENST00000613528
ENSG00000277615	ENST00000611667
ENSG00000281877	ENST00000629832
ENSG00000281877	ENST00000630838
ENSG00000281877	ENST00000631108
ENSG00000281877	ENST00000629025
ENSG00000281877	ENST00000628081
ENSG00000281877	ENST00000628256
ENSG00000281877	ENST00000625863
ENSG00000281877	ENST00000629099
ENSG00000274953	ENST00000610629
ENSG00000274953	ENST00000616717
ENSG00000274953	ENST00000618448
ENSG00000274953	ENST00000620314
ENSG00000274953	ENST00000611985
ENSG00000277923	ENST00000619842
ENSG00000277923	ENST00000618826
ENSG00000277923	ENST00000620311
ENSG00000204805	ENST00000605259
ENSG00000277079	ENST00000620720
ENSG00000277079	ENST00000625297
ENSG00000257215	ENST00000552607
ENSG00000277733	ENST00000621875
ENSG00000277733	ENST00000621146
ENSG00000277733	ENST00000612567
ENSG00000278817	ENST00000613204
ENSG00000277836	ENST00000611746
ENSG00000278782	ENST00000619130
ENSG00000278704	ENST00000618686
ENSG00000275384	ENST00000615726
ENSG00000275917	ENST00000617299
ENSG00000275917	ENST00000620917
ENSG00000275917	ENST00000618874
ENSG00000277475	ENST00000612315
ENSG00000280908	ENST00000628229
ENSG00000280908	ENST00000626048
ENSG00000275822	ENST00000616307
ENSG00000275822	ENST00000617973
ENSG00000275822	ENST00000620921
ENSG00000275822	ENST00000615207
ENSG00000278789	ENST00000616040
ENSG00000278789	ENST00000619281
ENSG00000278789	ENST00000616919
ENSG00000278789	ENST00000613851
ENSG00000273511	ENST00000612406
ENSG00000273511	ENST00000617622
ENSG00000273511	ENST00000619631
ENSG00000273511	ENST00000619170
ENSG00000273511	ENST00000612543
ENSG00000273506	ENST00000619067
ENSG00000273506	ENST00000617304
ENSG00000273506	ENST00000612384
ENSG00000273506	ENST00000616677
ENSG00000277071	ENST00000615426
ENSG00000277071	ENST00000614879
ENSG00000281894	ENST00000629379
ENSG00000281894	ENST00000625422
ENSG00000281894	ENST00000629459
ENSG00000281894	ENST00000626497
ENSG00000281894	ENST00000627156
ENSG00000281894	ENST00000627589
ENSG00000277667	ENST00000622368
ENSG00000277401	ENST00000621049
ENSG00000277401	ENST00000613680
ENSG00000277401	ENST00000612628
ENSG00000277401	ENST00000631203
ENSG00000276017	ENST00000617983
ENSG00000273875	ENST00000620398
ENSG00000278198	ENST00000611619
ENSG00000274672	ENST00000622524
ENSG00000274672	ENST00000614734
ENSG00000274672	ENST00000616209
ENSG00000274733	ENST00000616996
ENSG00000281626	ENST00000650002
ENSG00000281626	ENST00000628759
ENSG00000274504	ENST00000613935
ENSG00000281917	ENST00000630362
ENSG00000281917	ENST00000628110
ENSG00000281917	ENST00000629920
ENSG00000281917	ENST00000629508
ENSG00000281917	ENST00000626371
ENSG00000278695	ENST00000616938
ENSG00000276982	ENST00000610577
ENSG00000276982	ENST00000622326
ENSG00000276982	ENST00000611918
ENSG00000276982	ENST00000611987
ENSG00000276982	ENST00000613895
ENSG00000278633	ENST00000619792
ENSG00000281766	ENST00000643872
ENSG00000281766	ENST00000628983
ENSG00000275049	ENST00000610645
ENSG00000286265	ENST00000610801
ENSG00000277457	ENST00000616816
ENSG00000274359	ENST00000618338
ENSG00000277154	ENST00000621588
ENSG00000277154	ENST00000610903
ENSG00000275806	ENST00000611419
ENSG00000278119	ENST00000611771
ENSG00000278384	ENST00000612565
ENSG00000277953	ENST00000619220
ENSG00000277953	ENST00000622300
ENSG00000275082	ENST00000621200
ENSG00000275082	ENST00000621239
ENSG00000275082	ENST00000622216
ENSG00000275082	ENST00000611642
ENSG00000276345	ENST00000612848
ENSG00000274144	ENST00000615175
ENSG00000274144	ENST00000620142
ENSG00000278257	ENST00000621285
ENSG00000276804	ENST00000620820
ENSG00000276804	ENST00000618995
ENSG00000277025	ENST00000618378
ENSG00000277025	ENST00000619745
ENSG00000277025	ENST00000611239
ENSG00000278081	ENST00000610953
ENSG00000278081	ENST00000630852
ENSG00000280949	ENST00000625380
ENSG00000282035	ENST00000630055
ENSG00000274894	ENST00000618595
ENSG00000274894	ENST00000619439
ENSG00000275798	ENST00000613156
ENSG00000275798	ENST00000618142
ENSG00000280549	ENST00000625769
ENSG00000276065	ENST00000614662
ENSG00000276065	ENST00000612096
ENSG00000278149	ENST00000620423
ENSG00000278161	ENST00000611514
ENSG00000257770	ENST00000550775
ENSG00000257770	ENST00000551639
ENSG00000276628	ENST00000619669
ENSG00000275483	ENST00000622199
ENSG00000275483	ENST00000621584
ENSG00000275746	ENST00000621843
ENSG00000275746	ENST00000616962
ENSG00000281614	ENST00000629761
ENSG00000281614	ENST00000630854
ENSG00000281614	ENST00000627169
ENSG00000281614	ENST00000628842
ENSG00000278363	ENST00000620520
ENSG00000276565	ENST00000617253
ENSG00000258002	ENST00000548618
ENSG00000269823	ENST00000599578
ENSG00000274053	ENST00000611561
ENSG00000274053	ENST00000619679
ENSG00000274053	ENST00000620180
ENSG00000274053	ENST00000613294
ENSG00000277614	ENST00000614359
ENSG00000274905	ENST00000612712
ENSG00000276022	ENST00000611935
ENSG00000275123	ENST00000612678
ENSG00000274194	ENST00000613506
ENSG00000274194	ENST00000617656
ENSG00000274194	ENST00000617772
ENSG00000278682	ENST00000611679
ENSG00000278682	ENST00000611772
ENSG00000278682	ENST00000619885
ENSG00000278682	ENST00000622444
ENSG00000274889	ENST00000622245
ENSG00000274063	ENST00000616686
ENSG00000277005	ENST00000616654
ENSG00000272000	ENST00000607223
ENSG00000272000	ENST00000606649
ENSG00000277179	ENST00000618672
ENSG00000277179	ENST00000618261
ENSG00000277088	ENST00000614380
ENSG00000277088	ENST00000612289
ENSG00000277088	ENST00000610915
ENSG00000277088	ENST00000622288
ENSG00000277088	ENST00000618058
ENSG00000280584	ENST00000627758
ENSG00000280584	ENST00000628865
ENSG00000280584	ENST00000629408
ENSG00000275577	ENST00000612105
ENSG00000275577	ENST00000613042
ENSG00000275577	ENST00000619907
ENSG00000275577	ENST00000617097
ENSG00000275577	ENST00000621018
ENSG00000276787	ENST00000621063
ENSG00000286079	ENST00000651525
ENSG00000275165	ENST00000617902
ENSG00000275165	ENST00000619273
ENSG00000275165	ENST00000619994
ENSG00000277626	ENST00000611547
ENSG00000277400	ENST00000613230
ENSG00000285332	ENST00000543480
ENSG00000276341	ENST00000613257
ENSG00000276082	ENST00000620573
ENSG00000276082	ENST00000620419
ENSG00000276082	ENST00000610829
ENSG00000277722	ENST00000621307
ENSG00000274566	ENST00000613649
ENSG00000274566	ENST00000614889
ENSG00000278322	ENST00000621612
ENSG00000278322	ENST00000611602
ENSG00000278322	ENST00000620636
ENSG00000275474	ENST00000615688
ENSG00000275086	ENST00000617348
ENSG00000274887	ENST00000610804
ENSG00000274887	ENST00000622762
ENSG00000274887	ENST00000613096
ENSG00000274887	ENST00000614154
ENSG00000274887	ENST00000612784
ENSG00000271254	ENST00000614336
ENSG00000271254	ENST00000612640
ENSG00000271254	ENST00000612721
ENSG00000271254	ENST00000616361
ENSG00000274796	ENST00000611560
ENSG00000274796	ENST00000613653
ENSG00000274796	ENST00000622538
ENSG00000278232	ENST00000613260
ENSG00000278232	ENST00000614143
ENSG00000278232	ENST00000618382
ENSG00000278232	ENST00000615345
ENSG00000278232	ENST00000611599
ENSG00000278232	ENST00000617446
ENSG00000273944	ENST00000621849
ENSG00000269167	ENST00000593842
ENSG00000281185	ENST00000627846
ENSG00000276826	ENST00000616348
ENSG00000282676	ENST00000621764
ENSG00000276296	ENST00000616277
ENSG00000277996	ENST00000613354
ENSG00000278533	ENST00000616461
ENSG00000278533	ENST00000616758
ENSG00000278533	ENST00000611715
ENSG00000278533	ENST00000611143
ENSG00000278533	ENST00000611322
ENSG00000276145	ENST00000611088
ENSG00000285447	ENST00000619044
ENSG00000275568	ENST00000622253
ENSG00000275568	ENST00000619401
ENSG00000275568	ENST00000611363
ENSG00000278365	ENST00000617282
ENSG00000273916	ENST00000621792
ENSG00000273916	ENST00000614638
ENSG00000273916	ENST00000612577
ENSG00000273916	ENST00000615651
ENSG00000275063	ENST00000618003
ENSG00000275117	ENST00000622387
ENSG00000275117	ENST00000619956
ENSG00000276211	ENST00000610746
ENSG00000276211	ENST00000621278
ENSG00000277630	ENST00000616049
ENSG00000277630	ENST00000616157
ENSG00000274965	ENST00000611448
ENSG00000274965	ENST00000615583
ENSG00000274965	ENST00000617515
ENSG00000274965	ENST00000618210
ENSG00000274965	ENST00000621076
ENSG00000277856	ENST00000619729
ENSG00000280514	ENST00000625748
ENSG00000275493	ENST00000612308
ENSG00000276604	ENST00000619320
ENSG00000277403	ENST00000618974
ENSG00000275796	ENST00000622042
ENSG00000275796	ENST00000619664
ENSG00000275796	ENST00000622864
ENSG00000275796	ENST00000618789
ENSG00000275935	ENST00000621927
ENSG00000275843	ENST00000611410
ENSG00000275843	ENST00000621594
ENSG00000275843	ENST00000618018
ENSG00000275843	ENST00000618694
ENSG00000274005	ENST00000617291
ENSG00000274005	ENST00000629607
ENSG00000276774	ENST00000614037
ENSG00000283034	ENST00000634579
ENSG00000283034	ENST00000635479
ENSG00000283034	ENST00000635138
ENSG00000276260	ENST00000619470
ENSG00000277983	ENST00000618131
ENSG00000276066	ENST00000612436
ENSG00000276066	ENST00000615508
ENSG00000276066	ENST00000618109
ENSG00000276066	ENST00000616582
ENSG00000276066	ENST00000610857
ENSG00000276263	ENST00000615620
ENSG00000278714	ENST00000622022
ENSG00000273496	ENST00000621382
ENSG00000277707	ENST00000622636
ENSG00000277707	ENST00000620861
ENSG00000277263	ENST00000613328
ENSG00000276220	ENST00000612327
ENSG00000274175	ENST00000616638
ENSG00000278670	ENST00000615407
ENSG00000278670	ENST00000613801
ENSG00000277761	ENST00000612243
ENSG00000277761	ENST00000614110
ENSG00000276159	ENST00000610794
ENSG00000276159	ENST00000619024
ENSG00000276159	ENST00000613774
ENSG00000276159	ENST00000613085
ENSG00000276159	ENST00000613106
ENSG00000276253	ENST00000612769
ENSG00000268674	ENST00000601199
ENSG00000277086	ENST00000621195
ENSG00000277086	ENST00000628420
ENSG00000275605	ENST00000619253
ENSG00000276760	ENST00000614604
ENSG00000276760	ENST00000620810
ENSG00000275249	ENST00000612882
ENSG00000275633	ENST00000617954
ENSG00000275633	ENST00000610596
ENSG00000182584	ENST00000330271
ENSG00000274626	ENST00000616928
ENSG00000274626	ENST00000626065
ENSG00000277776	ENST00000610981
ENSG00000277776	ENST00000613233
ENSG00000274873	ENST00000616323
ENSG00000275979	ENST00000611252
ENSG00000275979	ENST00000619567
ENSG00000275979	ENST00000619557
ENSG00000277607	ENST00000617281
ENSG00000277607	ENST00000615235
ENSG00000277607	ENST00000613399
ENSG00000277607	ENST00000614572
ENSG00000277607	ENST00000614756
ENSG00000274703	ENST00000610985
ENSG00000274703	ENST00000614003
ENSG00000274703	ENST00000616232
ENSG00000274703	ENST00000620283
ENSG00000274703	ENST00000614057
ENSG00000277196	ENST00000621424
ENSG00000277196	ENST00000615165
ENSG00000274050	ENST00000622589
ENSG00000274050	ENST00000612862
ENSG00000276886	ENST00000300177
ENSG00000276886	ENST00000322805
ENSG00000276363	ENST00000617862
ENSG00000276363	ENST00000619921
ENSG00000276363	ENST00000618529
ENSG00000276363	ENST00000612639
ENSG00000276363	ENST00000619066
ENSG00000275551	ENST00000617187
ENSG00000275551	ENST00000611480
ENSG00000275551	ENST00000615546
ENSG00000275551	ENST00000617834
ENSG00000275551	ENST00000615745
ENSG00000274847	ENST00000400754
ENSG00000267954	ENST00000598975
ENSG00000274941	ENST00000610883
ENSG00000274941	ENST00000622131
ENSG00000274941	ENST00000614598
ENSG00000276323	ENST00000619581
ENSG00000273748	ENST00000612919
ENSG00000275606	ENST00000622450
ENSG00000278378	ENST00000617993
ENSG00000278378	ENST00000618710
ENSG00000278378	ENST00000621506
ENSG00000278378	ENST00000617210
ENSG00000278378	ENST00000611450
ENSG00000277824	ENST00000615717
ENSG00000277824	ENST00000617861
ENSG00000277824	ENST00000617145
ENSG00000277824	ENST00000613768
ENSG00000278519	ENST00000615453
ENSG00000278519	ENST00000621455
ENSG00000278519	ENST00000612053
ENSG00000275644	ENST00000612953
ENSG00000275644	ENST00000620647
ENSG00000275644	ENST00000611719
ENSG00000275644	ENST00000621328
ENSG00000275644	ENST00000622275
ENSG00000277629	ENST00000612403
ENSG00000277629	ENST00000620757
ENSG00000277629	ENST00000622270
ENSG00000277629	ENST00000621164
ENSG00000275724	ENST00000610406
ENSG00000278712	ENST00000613888
ENSG00000278712	ENST00000615811
ENSG00000278712	ENST00000614984
ENSG00000283886	ENST00000622735
ENSG00000170152	ENST00000441025
ENSG00000274542	ENST00000455693
ENSG00000275931	ENST00000611436
ENSG00000275931	ENST00000622653
ENSG00000273554	ENST00000613216
ENSG00000273554	ENST00000611339
ENSG00000276766	ENST00000619966
ENSG00000278426	ENST00000617592
ENSG00000278316	ENST00000619136
