GeneID	TranscriptID.UNKNOWN
ENSMUSG00000051951	ENSMUST00000070533.Xkr4
ENSMUSG00000025900	ENSMUST00000208660.Rp1
ENSMUSG00000025900	ENSMUST00000027032.Rp1
ENSMUSG00000025902	ENSMUST00000027035.Sox17
ENSMUSG00000025902	ENSMUST00000192650.Sox17
ENSMUSG00000033845	ENSMUST00000156816.Mrpl15
ENSMUSG00000025903	ENSMUST00000027036.Lypla1
ENSMUSG00000025903	ENSMUST00000150971.Lypla1
ENSMUSG00000104217	ENSMUST00000155020.Gm37988
ENSMUSG00000025903	ENSMUST00000115529.Lypla1
ENSMUSG00000033813	ENSMUST00000081551.Tcea1
ENSMUSG00000033813	ENSMUST00000165720.Tcea1
ENSMUSG00000002459	ENSMUST00000002533.Rgs20
ENSMUSG00000002459	ENSMUST00000118000.Rgs20
ENSMUSG00000002459	ENSMUST00000119256.Rgs20
ENSMUSG00000033793	ENSMUST00000192847.Atp6v1h
ENSMUSG00000033793	ENSMUST00000044369.Atp6v1h
ENSMUSG00000033793	ENSMUST00000192698.Atp6v1h
ENSMUSG00000025905	ENSMUST00000160777.Oprk1
ENSMUSG00000025905	ENSMUST00000239100.Oprk1
ENSMUSG00000033774	ENSMUST00000044180.Npbwr1
ENSMUSG00000025907	ENSMUST00000027040.Rb1cc1
ENSMUSG00000087247	ENSMUST00000133144.Alkal1
ENSMUSG00000033740	ENSMUST00000140079.St18
ENSMUSG00000051285	ENSMUST00000061280.Pcmtd1
ENSMUSG00000025909	ENSMUST00000191683.Sntg1
ENSMUSG00000025909	ENSMUST00000140295.Sntg1
ENSMUSG00000061024	ENSMUST00000072079.Rrs1
ENSMUSG00000025911	ENSMUST00000144177.Adhfe1
ENSMUSG00000067879	ENSMUST00000088666.Vxn
ENSMUSG00000025912	ENSMUST00000088658.Mybl1
ENSMUSG00000025912	ENSMUST00000115468.Mybl1
ENSMUSG00000045210	ENSMUST00000057438.Vcpip1
ENSMUSG00000025915	ENSMUST00000166384.Sgk3
ENSMUSG00000046101	ENSMUST00000171802.Mcmdc2
ENSMUSG00000046101	ENSMUST00000125294.Mcmdc2
ENSMUSG00000046101	ENSMUST00000140948.Mcmdc2
ENSMUSG00000099032	ENSMUST00000185184.Tcf24
ENSMUSG00000025916	ENSMUST00000027049.Ppp1r42
ENSMUSG00000025917	ENSMUST00000027050.Cops5
ENSMUSG00000056763	ENSMUST00000071087.Cspp1
ENSMUSG00000056763	ENSMUST00000186294.Cspp1
ENSMUSG00000067851	ENSMUST00000088615.Arfgef1
ENSMUSG00000042501	ENSMUST00000035577.Cpa6
ENSMUSG00000048960	ENSMUST00000027056.Prex2
ENSMUSG00000057715	ENSMUST00000171690.A830018L16Rik
