Gene stable ID	Transcript stable ID
ENSMUSG00000064370	ENSMUST00000082421
ENSMUSG00000064368	ENSMUST00000082419
ENSMUSG00000064367	ENSMUST00000082418
ENSMUSG00000064363	ENSMUST00000082414
ENSMUSG00000065947	ENSMUST00000084013
ENSMUSG00000064360	ENSMUST00000082411
ENSMUSG00000064358	ENSMUST00000082409
ENSMUSG00000064357	ENSMUST00000082408
ENSMUSG00000064356	ENSMUST00000082407
ENSMUSG00000064354	ENSMUST00000082405
ENSMUSG00000064351	ENSMUST00000082402
ENSMUSG00000064345	ENSMUST00000082396
ENSMUSG00000064341	ENSMUST00000082392
ENSMUSG00000078129	ENSMUST00000104928
ENSMUSG00000094391	ENSMUST00000179532
ENSMUSG00000093828	ENSMUST00000177905
ENSMUSG00000093828	ENSMUST00000107987
ENSMUSG00000079222	ENSMUST00000111423
ENSMUSG00000095763	ENSMUST00000178318
ENSMUSG00000116179	ENSMUST00000073468
ENSMUSG00000096850	ENSMUST00000179623
ENSMUSG00000094958	ENSMUST00000178992
ENSMUSG00000094799	ENSMUST00000115928
ENSMUSG00000074564	ENSMUST00000099050
ENSMUSG00000078912	ENSMUST00000109160
ENSMUSG00000062783	ENSMUST00000078827
ENSMUSG00000094741	ENSMUST00000178291
ENSMUSG00000078840	ENSMUST00000108743
ENSMUSG00000094030	ENSMUST00000177665
ENSMUSG00000069475	ENSMUST00000092094
ENSMUSG00000095250	ENSMUST00000179211
ENSMUSG00000095585	ENSMUST00000179075
ENSMUSG00000094293	ENSMUST00000178882
ENSMUSG00000096237	ENSMUST00000177565
ENSMUSG00000091731	ENSMUST00000169859
ENSMUSG00000079374	ENSMUST00000112755
ENSMUSG00000096240	ENSMUST00000178898
ENSMUSG00000094474	ENSMUST00000177582
ENSMUSG00000090853	ENSMUST00000163881
ENSMUSG00000073682	ENSMUST00000115821
ENSMUSG00000095280	ENSMUST00000177817
ENSMUSG00000092047	ENSMUST00000171980
ENSMUSG00000090625	ENSMUST00000168292
ENSMUSG00000096776	ENSMUST00000177783
ENSMUSG00000015126	ENSMUST00000063574
ENSMUSG00000066378	ENSMUST00000085094
ENSMUSG00000096930	ENSMUST00000181745
ENSMUSG00000068068	ENSMUST00000089098
ENSMUSG00000092157	ENSMUST00000171515
ENSMUSG00000035521	ENSMUST00000038973
ENSMUSG00000035521	ENSMUST00000115154
ENSMUSG00000096968	ENSMUST00000180542
ENSMUSG00000096506	ENSMUST00000115904
ENSMUSG00000091347	ENSMUST00000167981
ENSMUSG00000095470	ENSMUST00000179133
ENSMUSG00000096463	ENSMUST00000098874
ENSMUSG00000094728	ENSMUST00000180119
ENSMUSG00000045506	ENSMUST00000050753
ENSMUSG00000091096	ENSMUST00000167618
ENSMUSG00000078677	ENSMUST00000107486
ENSMUSG00000075015	ENSMUST00000099684
ENSMUSG00000095316	ENSMUST00000096511
ENSMUSG00000074720	ENSMUST00000099245
ENSMUSG00000072693	ENSMUST00000100848
ENSMUSG00000096808	ENSMUST00000177921
ENSMUSG00000066810	ENSMUST00000086238
ENSMUSG00000095456	ENSMUST00000179253
ENSMUSG00000078488	ENSMUST00000105596
ENSMUSG00000079061	ENSMUST00000110441
ENSMUSG00000091306	ENSMUST00000169818
ENSMUSG00000096244	ENSMUST00000177979
ENSMUSG00000025218	ENSMUST00000026239
ENSMUSG00000079439	ENSMUST00000113257
ENSMUSG00000095759	ENSMUST00000178050
ENSMUSG00000096728	ENSMUST00000178296
ENSMUSG00000079353	ENSMUST00000112589
ENSMUSG00000063897	ENSMUST00000077235
ENSMUSG00000095076	ENSMUST00000177668
