geneID	transcriptID
ENSG00000186092	ENST00000335137
ENSG00000186092	ENST00000641515
ENSG00000284733	ENST00000426406
ENSG00000284662	ENST00000332831
ENSG00000187634	ENST00000618181
ENSG00000187634	ENST00000617307
ENSG00000187634	ENST00000618779
ENSG00000187634	ENST00000616125
ENSG00000187634	ENST00000342066
ENSG00000187634	ENST00000622503
ENSG00000188976	ENST00000327044
ENSG00000187961	ENST00000338591
ENSG00000187583	ENST00000379410
ENSG00000187583	ENST00000379407
ENSG00000187583	ENST00000379409
ENSG00000187642	ENST00000341290
ENSG00000187642	ENST00000433179
ENSG00000188290	ENST00000304952
ENSG00000188290	ENST00000484667
ENSG00000188290	ENST00000428771
ENSG00000187608	ENST00000624697
ENSG00000187608	ENST00000649529
ENSG00000188157	ENST00000620552
ENSG00000188157	ENST00000379370
ENSG00000237330	ENST00000453464
ENSG00000131591	ENST00000379339
ENSG00000131591	ENST00000379319
ENSG00000131591	ENST00000379320
ENSG00000131591	ENST00000421241
ENSG00000162571	ENST00000379290
ENSG00000162571	ENST00000379289
ENSG00000186891	ENST00000379265
ENSG00000186891	ENST00000486728
ENSG00000186891	ENST00000328596
ENSG00000186891	ENST00000379268
ENSG00000186827	ENST00000379236
ENSG00000078808	ENST00000360001
ENSG00000078808	ENST00000660930
ENSG00000078808	ENST00000263741
ENSG00000176022	ENST00000379198
ENSG00000184163	ENST00000330388
ENSG00000160087	ENST00000400930
ENSG00000160087	ENST00000360466
ENSG00000160087	ENST00000349431
ENSG00000162572	ENST00000338555
ENSG00000162572	ENST00000325425
ENSG00000162572	ENST00000400928
ENSG00000162572	ENST00000379116
ENSG00000131584	ENST00000353662
ENSG00000131584	ENST00000354700
ENSG00000169972	ENST00000379031
ENSG00000127054	ENST00000545578
ENSG00000127054	ENST00000419704
ENSG00000127054	ENST00000435064
ENSG00000127054	ENST00000411962
ENSG00000127054	ENST00000450926
ENSG00000127054	ENST00000540437
ENSG00000127054	ENST00000620829
ENSG00000224051	ENST00000343938
ENSG00000169962	ENST00000339381
ENSG00000107404	ENST00000378888
ENSG00000107404	ENST00000378891
ENSG00000162576	ENST00000309212
ENSG00000162576	ENST00000445648
ENSG00000162576	ENST00000477278
ENSG00000175756	ENST00000338370
ENSG00000175756	ENST00000378853
ENSG00000175756	ENST00000338338
ENSG00000175756	ENST00000321751
ENSG00000221978	ENST00000400809
ENSG00000242485	ENST00000482352
ENSG00000242485	ENST00000344843
ENSG00000235098	ENST00000537107
ENSG00000235098	ENST00000454272
ENSG00000205116	ENST00000378821
ENSG00000179403	ENST00000476993
ENSG00000215915	ENST00000378785
ENSG00000160072	ENST00000673477
ENSG00000197785	ENST00000536055
ENSG00000197785	ENST00000378755
ENSG00000197785	ENST00000378756
ENSG00000205090	ENST00000378733
ENSG00000205090	ENST00000425828
ENSG00000160075	ENST00000291386
ENSG00000228594	ENST00000422725
ENSG00000197530	ENST00000378708
ENSG00000197530	ENST00000355826
ENSG00000197530	ENST00000518681
ENSG00000197530	ENST00000520777
ENSG00000197530	ENST00000505820
ENSG00000197530	ENST00000504599
ENSG00000197530	ENST00000378712
ENSG00000189409	ENST00000378675
ENSG00000189409	ENST00000356026
ENSG00000248333	ENST00000629312
ENSG00000248333	ENST00000407249
ENSG00000248333	ENST00000626918
ENSG00000248333	ENST00000341832
ENSG00000248333	ENST00000629289
ENSG00000248333	ENST00000340677
ENSG00000189339	ENST00000617444
ENSG00000189339	ENST00000611123
ENSG00000008128	ENST00000356200
ENSG00000008128	ENST00000357760
ENSG00000008128	ENST00000378638
ENSG00000008128	ENST00000378633
ENSG00000008128	ENST00000404249
ENSG00000008128	ENST00000358779
ENSG00000215790	ENST00000355439
ENSG00000215790	ENST00000643905
ENSG00000008130	ENST00000341426
ENSG00000008130	ENST00000378625
ENSG00000008130	ENST00000341991
ENSG00000078369	ENST00000610897
ENSG00000078369	ENST00000378609
ENSG00000169885	ENST00000307786
ENSG00000178821	ENST00000378602
ENSG00000178821	ENST00000310991
ENSG00000142609	ENST00000493964
ENSG00000187730	ENST00000640067
ENSG00000187730	ENST00000640949
ENSG00000187730	ENST00000378585
