GeneID	TransID
ENSG00000067445	ENST00000420798.TRO
ENSG00000123427	ENST00000300209.EEF1AKMT3
ENSG00000127314	ENST00000250559.RAP1B
ENSG00000151322	ENST00000548645.NPAS3
ENSG00000048392	ENST00000251810.RRM2B
ENSG00000139220	ENST00000549325.PPFIA2
ENSG00000111834	ENST00000229554.RSPH4A
ENSG00000084628	ENST00000373736.NKAIN1
ENSG00000205213	ENST00000379214.LGR4
ENSG00000066739	ENST00000359933.ATG2B
ENSG00000133131	ENST00000355610.MORC4
ENSG00000250067	ENST00000514277.YJEFN3
ENSG00000120833	ENST00000340600.SOCS2
ENSG00000140525	ENST00000674831.FANCI
ENSG00000148824	ENST00000317502.MTG1
ENSG00000187122	ENST00000266058.SLIT1
ENSG00000183733	ENST00000332372.FIGLA
ENSG00000203705	ENST00000366973.TATDN3
ENSG00000153982	ENST00000284116.GDPD1
ENSG00000137309	ENST00000311487.HMGA1
ENSG00000232264	ENST00000504481.USP17L24
ENSG00000100938	ENST00000420554.GMPR2
ENSG00000177807	ENST00000644903.KCNJ10
ENSG00000196503	ENST00000640821.ARL9
ENSG00000116473	ENST00000356415.RAP1A
ENSG00000280071	ENST00000624120.GATD3B
ENSG00000127922	ENST00000417009.SEM1
ENSG00000196104	ENST00000535728.SPOCK3
ENSG00000143149	ENST00000354775.ALDH9A1
ENSG00000105643	ENST00000379656.ARRDC2
ENSG00000112715	ENST00000672860.VEGFA
ENSG00000164733	ENST00000676502.CTSB
ENSG00000101347	ENST00000643918.SAMHD1
ENSG00000178802	ENST00000323744.MPI
ENSG00000255393	ENST00000642343.OOSP4B
ENSG00000132938	ENST00000612955.MTUS2
ENSG00000161040	ENST00000455112.FBXL13
ENSG00000070061	ENST00000675825.ELP1
ENSG00000096717	ENST00000212015.SIRT1
ENSG00000105855	ENST00000537992.ITGB8
ENSG00000164794	ENST00000524391.KCNV1
ENSG00000166159	ENST00000543818.LRTM2
ENSG00000175166	ENST00000435761.PSMD2
ENSG00000116750	ENST00000367448.UCHL5
ENSG00000163565	ENST00000448393.IFI16
ENSG00000088038	ENST00000221232.CNOT3
ENSG00000114349	ENST00000232461.GNAT1
ENSG00000002586	ENST00000381184.CD99
ENSG00000089472	ENST00000519389.HEPH
ENSG00000125798	ENST00000377115.FOXA2
ENSG00000125814	ENST00000617876.NAPB
ENSG00000140538	ENST00000355254.NTRK3
ENSG00000156508	ENST00000678703.EEF1A1
ENSG00000221882	ENST00000408891.OR3A2
ENSG00000083937	ENST00000494980.CHMP2B
ENSG00000127124	ENST00000372584.HIVEP3
ENSG00000269190	ENST00000292852.FBXO17
ENSG00000103510	ENST00000543774.KAT8
ENSG00000173153	ENST00000677967.ESRRA
ENSG00000170892	ENST00000665674.TSEN34
ENSG00000100023	ENST00000335025.PPIL2
ENSG00000099800	ENST00000215570.TIMM13
ENSG00000133606	ENST00000255977.MKRN1
ENSG00000154832	ENST00000285106.CXXC1
ENSG00000205923	ENST00000567119.CEMP1
ENSG00000211750	ENST00000390397.TRBV24-1
ENSG00000181958	ENST00000314706.OR4A15
ENSG00000204231	ENST00000374685.RXRB
ENSG00000149599	ENST00000375966.DUSP15
ENSG00000166548	ENST00000417693.TK2
ENSG00000157368	ENST00000566361.IL34
ENSG00000167641	ENST00000591585.PPP1R14A
ENSG00000198021	ENST00000370519.SPANXA1
ENSG00000198765	ENST00000369522.SYCP1
ENSG00000166025	ENST00000433060.AMOTL1
ENSG00000259224	ENST00000412468.SLC35G6
ENSG00000206199	ENST00000462519.ANKUB1
ENSG00000198910	ENST00000361699.L1CAM
ENSG00000090975	ENST00000320201.PITPNM2
ENSG00000102393	ENST00000649178.GLA
ENSG00000105388	ENST00000221992.CEACAM5
ENSG00000120526	ENST00000678094.NUDCD1
ENSG00000185499	ENST00000368393.MUC1
ENSG00000149806	ENST00000529639.FAU
ENSG00000143553	ENST00000368685.SNAPIN
ENSG00000134452	ENST00000397269.FBH1
ENSG00000266173	ENST00000639835.STRADA
ENSG00000170525	ENST00000379785.PFKFB3
ENSG00000197938	ENST00000355273.OR5H2
ENSG00000136928	ENST00000259455.GABBR2
ENSG00000167664	ENST00000595645.TMIGD2
ENSG00000183878	ENST00000612274.UTY
ENSG00000121413	ENST00000601144.ZSCAN18
ENSG00000104490	ENST00000522951.NCALD
ENSG00000101773	ENST00000327155.RBBP8
ENSG00000166974	ENST00000413393.MAPRE2
ENSG00000197901	ENST00000421062.SLC22A6
ENSG00000117868	ENST00000652148.ESYT2
ENSG00000147127	ENST00000374473.RAB41
ENSG00000115649	ENST00000409789.CNPPD1
ENSG00000129873	ENST00000382867.CDY2B
ENSG00000092096	ENST00000354772.SLC22A17
ENSG00000177570	ENST00000524796.SAMD12
ENSG00000145362	ENST00000672854.ANK2
ENSG00000184908	ENST00000683578.CLCNKB
ENSG00000223614	ENST00000429565.ZNF735
ENSG00000003402	ENST00000443227.CFLAR
ENSG00000116138	ENST00000375849.DNAJC16
ENSG00000170677	ENST00000397942.SOCS6
ENSG00000099864	ENST00000264560.PALM
ENSG00000072110	ENST00000376839.ACTN1
ENSG00000177721	ENST00000314890.ANXA2R
