NAALAD2	NAALAD2_rna-XM_015280387.2
SLC41A2	SLC41A2_rna-XM_015286032.2
ACP6	ACP6_rna-XM_015296397.2
IL18	IL18_rna-XM_015297948.2
PCNX2	PCNX2_rna-XM_015284401.2
ITM2C	ITM2C_rna-XM_025153349.1
SOBP	SOBP_rna-XM_015284514.2
GDF15	GDF15_rna-XM_025144363.1
DYNC2LI1	DYNC2LI1_rna-XM_419456.6
MEF2A	MEF2A_rna-XM_015292079.2
PIK3C2A	PIK3C2A_rna-XM_004941407.3
GUCA1C	GUCA1C_rna-XM_015297550.2
RRNAD1	RRNAD1_rna-XM_025143531.1
AGXT2	AGXT2_ENSGALT00000005433.5
PRDM12	PRDM12_ENSGALT00000006192.4
ACTA2	ACTA2_rna-NM_001031229.1
CACNA1D	CACNA1D_rna-XM_015292991.2
PCOLCE2	PCOLCE2_rna-XM_015276963.2
PDE6B	PDE6B_rna-NM_001318440.1
NRXN3	NRXN3_rna-NM_001271923.1
CORO2A	CORO2A_ENSGALT00000099479.1
SSX2IP	SSX2IP_rna-XM_015290813.2
CFAP69	CFAP69_rna-XM_025148421.1
R3HDM1	R3HDM1_rna-XM_025152352.1
E2F7	E2F7_rna-XM_025154422.1
GJA5	GJA5_rna-XM_015295948.2
ZNF280D	ZNF280D_rna-XM_015291869.2
BKJ	BKJ_rna-XM_025151485.1
BG1	BG1_rna-NM_001099355.1
HACD3	HACD3_ENSGALT00000012093.6
DDX60	DDX60_rna-XM_004940918.3
MBD3	MBD3_rna-XM_015299948.2
GGACT	GGACT_rna-XM_025146743.1
MGAT4A	MGAT4A_rna-NM_001012824.1
HNRNPH2	HNRNPH2_rna-XM_025154785.1
PAXBP1	PAXBP1_rna-XM_416707.6
ZNF384	ZNF384_rna-XM_025151592.1
KCNJ2	KCNJ2_rna-XM_025141548.1
IKZF1	IKZF1_rna-XM_015282272.2
CRTC1	CRTC1_rna-XM_015300136.2
MAGI2	MAGI2_rna-XM_015275751.2
FDXR	FDXR_ENSGALT00000093054.1
A4GNT	A4GNT_rna-XM_426692.5
VDAC2	VDAC2_ENSGALT00000086954.2
PVALB	PVALB_rna-XM_015284568.2
SHC3	SHC3_rna-XM_025145195.1
FAM109A	FAM109A_rna-XM_015275576.2
MAPK8IP3	MAPK8IP3_rna-XM_015301949.2
CLIP1	CLIP1_rna-NM_204942.1
STXBP5L	STXBP5L_rna-XM_015295110.2
EYA1	EYA1_ENSGALT00000049593.2
GFPT2	GFPT2_rna-XM_025154916.1
ARHGEF11	ARHGEF11_rna-XM_015298456.2
AMY1A	AMY1A_rna-NM_001001528.2
NEBL	NEBL_rna-XM_025147018.1
SLC25A24	SLC25A24_rna-XM_015290367.2
ARHGDIA	ARHGDIA_rna-XM_015295424.2
PHC3	PHC3_rna-XM_004943494.3
ARHGEF3	ARHGEF3_rna-XM_015293069.2
CZH18ORF25	CZH18ORF25_rna-XM_004949037.3
CASP6	CASP6_rna-XM_025149502.1
PRMT8	PRMT8_rna-XM_004938079.3
ACAN	ACAN_rna-NM_204955.2
ROBO2	ROBO2_ENSGALT00000095463.1
SAMD10	SAMD10_rna-XM_425711.5
FAM184A	FAM184A_rna-XM_015284482.2
IL34	IL34_rna-XM_003641892.4
RBM17	RBM17_rna-XM_004937468.3
SLC45A4	SLC45A4_rna-XM_015283236.2
MFAP3L	MFAP3L_rna-XM_426287.6
KRAS	KRAS_rna-XM_015290272.2
MASP2	MASP2_rna-XM_015296848.2
LYPLAL1	LYPLAL1_rna-XM_015283653.2
SYPL1	SYPL1_ENSGALT00000044682.3
TUBA3E	TUBA3E_rna-NM_001305140.1
UBR3	UBR3_rna-XM_015289670.2
NUP50	NUP50_ENSGALT00000022998.6
BARHL1	BARHL1_rna-XM_015279766.2
VDHAP	VDHAP_ENSGALT00000099779.1
LMINA	LMINA_rna-XM_015292031.2
ADAMTS5	ADAMTS5_ENSGALT00000025470.6
MPL	MPL_rna-XM_025152800.1
SPI1	SPI1_rna-XM_025150593.1
SLC7A1	SLC7A1_rna-XM_004938767.3
NELL1	NELL1_rna-XM_015286243.1
TC2N	TC2N_rna-XM_004941873.3
B3GNTL1	B3GNTL1_rna-XM_025141811.1
KCNJ4	KCNJ4_ENSGALT00000020012.6
SLK	SLK_rna-XM_004942266.3
CARS2	CARS2_rna-XM_025146722.1
MED6	MED6_rna-NM_001159425.1
MAMDC2	MAMDC2_rna-XM_003643015.3
SCLY	SCLY_rna-XM_015291345.2
PRDM1	PRDM1_rna-XM_015284537.2
CAPG	CAPG_rna-XM_015273248.2
TLE3	TLE3_ENSGALT00000013179.6
PLCL2	PLCL2_rna-XM_025147457.1
P4HA1	P4HA1_rna-NM_001198736.1
NF1	NF1_rna-XM_025142089.1
TET2	TET2_rna-NM_001277794.1
SS18L1	SS18L1_rna-XM_417402.6
ABLIM1	ABLIM1_rna-XM_025151634.1
NDUFA10	NDUFA10_rna-XM_015289174.2
HMBOX1	HMBOX1_rna-XM_015285120.2
C11orf63	C11orf63_rna-XM_015298173.2
PRDX4	PRDX4_rna-XM_001233999.3
ENPP7	ENPP7_rna-XM_015295596.2
NANOS3	NANOS3_rna-XM_025145794.1
HELZ	HELZ_rna-XM_015279974.2
MDK	MDK_rna-XM_015287041.2
FBXO34	FBXO34_rna-XM_015287520.2
ARAP2	ARAP2_ENSGALT00000064650.2
CAPNS2	CAPNS2_rna-XM_004944171.2
NEBL1	NEBL1_rna-XM_025152550.1
ORM1	ORM1_ENSGALT00000008177.6
GKAP1	GKAP1_rna-XM_015280367.2
WDR1	WDR1_rna-NM_001004402.1
ZNF606L	ZNF606L_rna-XM_015295205.2
FIP1L1	FIP1L1_rna-XM_025150189.1
PHLDB2	PHLDB2_rna-XM_015297649.2
GYS2	GYS2_rna-XM_004937991.3
IL16	IL16_rna-NM_001277996.1
ZNF704	ZNF704_rna-XM_418305.6
MYCBP	MYCBP_rna-XM_001232873.5
geneid-LOC107055222	geneid-LOC107055222_id-LOC107055222
ZMYND8	ZMYND8_rna-XM_015296705.2
DTYMK	DTYMK_ENSGALT00000057291.2
CPSF6	CPSF6_rna-XM_015281739.2
AAK1	AAK1_rna-XM_025142914.1
STAT4	STAT4_ENSGALT00000054767.3
PPP1R21	PPP1R21_rna-XM_015278067.2
AHR2	AHR2_rna-XM_015289246.2
SLC26A11	SLC26A11_rna-XM_025141719.1
ST3GAL6	ST3GAL6_rna-XM_015295693.2
SMAD9	SMAD9_rna-XM_025141535.1
ST14	ST14_rna-XM_004947982.3
CGGBP1	CGGBP1_rna-XM_004938303.3
NHSL2	NHSL2_rna-XM_015278374.2
ARAP3	ARAP3_rna-XM_015293632.2
GPR65	GPR65_rna-XM_015287729.2
TSPO	TSPO_ENSGALT00000022911.6
PRR5	PRR5_rna-XM_015290542.2
LGI1	LGI1_ENSGALT00000066345.2
BEND3	BEND3_rna-XM_015284545.2
EXPH5	EXPH5_rna-XM_004938823.3
HNRNPH3	HNRNPH3_ENSGALT00000051779.2
PARP8	PARP8_rna-XM_424786.6
PRUNE2	PRUNE2_rna-XM_015280358.2
RNF111	RNF111_rna-NM_001199751.1
MICAL2	MICAL2_rna-XM_015286434.2
NHP2	NHP2_ENSGALT00000064188.2
TPGS2	TPGS2_rna-XM_015277436.2
SNX29	SNX29_rna-XM_025155267.1
PCIF1	PCIF1_rna-XM_015296563.2
SLC5A8	SLC5A8_ENSGALT00000019001.6
ERG	ERG_rna-XM_015300252.2
MECOM	MECOM_rna-XM_025153589.1
SELP	SELP_rna-XM_422207.6
HMOX2	HMOX2_rna-XM_015294642.2
CD8A	CD8A_rna-NM_205235.1
CHD7	CHD7_rna-NM_001077586.2_shortIntron
SRCIN1	SRCIN1_rna-XM_025144110.1
TMEM128	TMEM128_ENSGALT00000071748.3
PANX1	PANX1_ENSGALT00000062863.2
HS6ST1	HS6ST1_rna-NM_204482.1
MYCBPAP	MYCBPAP_rna-XM_025141843.1
ANKEF1	ANKEF1_ENSGALT00000014632.7
ANKRD28	ANKRD28_rna-XM_015281816.2
MAP3K15	MAP3K15_rna-XM_003640489.4
GAS2L2	GAS2L2_rna-XM_004946505.3
ZNF644	ZNF644_rna-XM_025153010.1
STOM	STOM_ENSGALT00000034894.5
ITM2A	ITM2A_ENSGALT00000006532.5
C16orf71	C16orf71_rna-XM_025155249.1
BEST1	BEST1_rna-XM_004941488.3
LRP8	LRP8_rna-NM_205186.2
NFATC1	NFATC1_rna-XM_015275941.2
PKP4	PKP4_rna-XM_015290149.2
GSTA3	GSTA3_rna-NM_001001777.1
WIPF3	WIPF3_ENSGALT00000069084.2
FGL1	FGL1_rna-XM_025149684.1
THSD1	THSD1_rna-XM_015275978.2
SLC26A11	SLC26A11_rna-XM_015295608.2
IL1RL2	IL1RL2_rna-XM_025146651.1
APBB2	APBB2_rna-XM_004936100.3
UGGT1	UGGT1_rna-XM_015277179.2
CDK17	CDK17_ENSGALT00000107911.1
MAP9	MAP9_rna-XM_025150109.1
IKBKE	IKBKE_rna-XM_025143897.1
TBCEL	TBCEL_rna-XM_025143220.1
DNAJC2	DNAJC2_rna-XM_015275726.2
IL13RA1	IL13RA1_rna-XM_420218.5
BNIP1	BNIP1_ENSGALT00000004545.6
NFATC2	NFATC2_rna-XM_015296517.2
PLXNC1	PLXNC1_rna-XM_015284072.2
KIZ	KIZ_ENSGALT00000040014.4
FOXO1	FOXO1_ENSGALT00000080109.2
FGL1	FGL1_rna-XM_025149683.1
FAM83H	FAM83H_ENSGALT00000047899.3
USP19	USP19_rna-XM_004944630.3
EIF2B5	EIF2B5_rna-XM_422755.6
PEAK1	PEAK1_rna-XM_015278740.2
AGRN	AGRN_rna-XM_025142490.1
STMN1	STMN1_rna-XM_015297606.2
IGSF1L8	IGSF1L8_rna-XM_025146097.1
CASK	CASK_rna-XM_015301660.2
BCR	BCR_rna-XM_025155520.1
NSMF	NSMF_rna-XM_004945786.3
COL13A1	COL13A1_rna-XM_015278727.2
SLC7A6	SLC7A6_rna-XM_001231336.5
RAB9A	RAB9A_rna-XM_015273561.2
TNFAIP3	TNFAIP3_rna-XM_015284186.2
