geneId	TransID
SUSD6	SUSD6_rna-XM_421180.6
SUSD6	SUSD6_rna-XM_025151060.1
PLEKHD1	PLEKHD1_rna-XM_015287585.2
PLEKHD1	PLEKHD1_ENSGALT00000015356.6
PLEKHD1	PLEKHD1_rna-XM_421181.6
PLEKHD1	PLEKHD1_rna-XM_015287586.2
EAPP	EAPP_ENSGALT00000016256.5
LGALS3	LGALS3_rna-NM_001302800.1
LGALS3	LGALS3_rna-XM_015287256.2
reg_5	rna-XM_025150966.1
reg_5	rna-XM_025150969.1
reg_5	rna-XM_025150973.1
reg_5	rna-XM_025150967.1
reg_5	rna-XM_025150974.1
TTC9	TTC9_rna-XM_001231668.5
MPP5	MPP5_ENSGALT00000015609.6
GPHN	GPHN_rna-XM_015287539.2
GPHN	GPHN_rna-XM_025150836.1
GPHN	GPHN_rna-XM_015287536.2
GPHN	GPHN_rna-XM_015287533.2
GPHN	GPHN_rna-XM_015287534.2
GPHN	GPHN_rna-XM_015287528.2
GPHN	GPHN_rna-XM_015287525.2
GPHN	GPHN_rna-XM_015287526.2
GPHN	GPHN_rna-XM_025150832.1
GPHN	GPHN_rna-XM_015287540.2
GPHN	GPHN_rna-XM_015287527.2
GPHN	GPHN_rna-XM_015287543.2
GPHN	GPHN_rna-XM_015287535.2
GPHN	GPHN_rna-XM_015287544.2
GPHN	GPHN_rna-XM_015287529.2
GPHN	GPHN_rna-XM_015287531.2
GPHN	GPHN_rna-XM_015287532.2
GPHN	GPHN_rna-XM_015287538.2
GPHN	GPHN_rna-XM_015287537.2
GPHN	GPHN_rna-XM_015287530.2
GPHN	GPHN_rna-XM_025150831.1
GPHN	GPHN_ENSGALT00000032611.5
GPHN	GPHN_rna-XM_025150829.1
GPHN	GPHN_rna-XM_025150833.1
GPHN	GPHN_rna-XM_015287541.2
GPHN	GPHN_rna-XM_025150835.1
reg_9	rna-XM_004936539.1
LRRC4C	LRRC4C_rna-XM_025151002.1
DAAM1	DAAM1_rna-XM_015287503.2
DAAM1	DAAM1_ENSGALT00000090767.1
DAAM1	DAAM1_rna-XM_015287501.2
TNNT3	TNNT3_rna-XM_015286537.1
TNNT3	TNNT3_rna-XM_015286562.2
TNNT3	TNNT3_rna-XM_015286533.1
TNNT3	TNNT3_rna-XM_015286565.1
TNNT3	TNNT3_rna-XM_015286552.2
TNNT3	TNNT3_rna-XM_015286531.2
TNNT3	TNNT3_rna-XM_015286532.1
TNNT3	TNNT3_rna-XM_015286540.2
TNNT3	TNNT3_rna-XM_015286554.2
TNNT3	TNNT3_rna-XM_015286560.2
TNNT3	TNNT3_rna-XM_015286557.2
TNNT3	TNNT3_rna-XM_015286542.2
TNNT3	TNNT3_rna-XM_015286545.2
TNNT3	TNNT3_rna-XM_015286555.2
TNNT3	TNNT3_rna-XM_015286548.2
TNNT3	TNNT3_rna-XM_015286544.2
TNNT3	TNNT3_rna-XM_015286567.1
TNNT3	TNNT3_rna-XM_015286539.1
TNNT3	TNNT3_rna-XM_015286551.2
TNNT3	TNNT3_rna-XM_015286563.1
TNNT3	TNNT3_rna-XM_015286553.2
TNNT3	TNNT3_rna-XM_015286543.2
TNNT3	TNNT3_rna-XM_015286550.2
TNNT3	TNNT3_rna-XM_015286573.1
TNNT3	TNNT3_rna-XM_015286549.2
TNNT3	TNNT3_rna-XM_015286568.1
TNNT3	TNNT3_rna-XM_015286561.2
TNNT3	TNNT3_rna-XM_015286546.2
TNNT3	TNNT3_rna-XM_015286535.1
TNNT3	TNNT3_rna-XM_015286572.1
TNNT3	TNNT3_rna-XM_015286566.1
TNNT3	TNNT3_rna-XM_015286574.1
TNNT3	TNNT3_rna-XM_015286564.2
TNNT3	TNNT3_rna-XM_015286576.1
TNNT3	TNNT3_rna-XM_015286556.2
TNNT3	TNNT3_rna-XM_015286559.2
TNNT3	TNNT3_rna-XM_015286541.1
TNNT3	TNNT3_rna-XM_015286570.2
TNNT3	TNNT3_rna-XM_015286575.2
TNNT3	TNNT3_rna-XM_015286534.2
TNNT3	TNNT3_rna-XM_015286571.1
TNNT3	TNNT3_rna-NM_204922.2
TNNT3	TNNT3_rna-XM_015286538.1
GPR68	GPR68_rna-XM_015287746.2
GPR68	GPR68_rna-XM_015287748.2
SEC23A	SEC23A_ENSGALT00000082159.2
reg_15	rna-XM_015287669.2_shortIntron
reg_16	ENSGALT00000099285.1
reg_16	rna-XM_015287144.2
NDUFB1	NDUFB1_rna-NM_001277785.1
SNW1	SNW1_ENSGALT00000017099.6
TUB	rna-XM_025151386.1
TUB	rna-XM_025151387.1
TUB	rna-XM_025151381.1
TUB	rna-XM_025151382.1
TUB	TUB_rna-XM_025151383.1
TUB	rna-XM_025151385.1
TUB	rna-XM_025151384.1
TEAD1	TEAD1_rna-XM_025150626.1
TEAD1	TEAD1_rna-XM_025150619.1
TEAD1	TEAD1_rna-XM_025150620.1
TEAD1	TEAD1_rna-XM_025150624.1
TEAD1	TEAD1_rna-XM_025150628.1
TEAD1	TEAD1_rna-XM_025150621.1
TEAD1	TEAD1_rna-XM_025150618.1
TEAD1	TEAD1_rna-XM_025150617.1
TEAD1	TEAD1_rna-XM_025150627.1
TEAD1	TEAD1_rna-XM_015286358.2
TEAD1	TEAD1_rna-XM_025150622.1
TEAD1	TEAD1_rna-NM_001199405.1
TEAD1	TEAD1_rna-XM_025150623.1
OVCH2	rna-XM_025151049.1
OVCH2	rna-XM_025151047.1
OVCH2	OVCH2_rna-XM_025151050.1
OVCH2	rna-XM_025151051.1
OSBP	OSBP_rna-XM_025151181.1
OSBP	OSBP_ENSGALT00000081401.2
PAX6	PAX6_rna-XM_025150602.1
PAX6	PAX6_rna-XM_015286139.2
PAX6	PAX6_rna-XM_025150600.1
PAX6	PAX6_rna-XM_015286142.2
PAX6	PAX6_rna-XM_015286136.2
PAX6	PAX6_rna-XM_015286141.2
PAX6	PAX6_rna-XM_015286140.2
PAX6	PAX6_rna-XM_015286143.2
PAX6	PAX6_rna-XM_025150603.1
PAX6	PAX6_rna-XM_025150601.1
PAX6	PAX6_rna-NM_205066.1
PAX6	PAX6_rna-XM_025150599.1
PAX6	PAX6_rna-XM_025150604.1
KIAA1549L	KIAA1549L_ENSGALT00000019616.6
TMEM260	TMEM260_rna-XM_004936475.3
TMEM260	TMEM260_rna-XM_025151163.1
TMEM260	TMEM260_rna-XM_421443.6
TMEM260	TMEM260_rna-XM_025151162.1
reg_26	ENSGALT00000097626.1
gga-mir-6706	gga-mir-6706_rna-NM_001031192.1
gga-mir-6706	gga-mir-6706_rna-XM_015287042.2
